portfolio_kind,week_end_date,target_week_end_date,rebalance_date,period_end_date,scheduled_period_end_date,final_period_extension,weekly_return,period_return_since_rebalance,equity,cash_weight,stock_weight,selected_names,missing_price_count,spy_period_return_since_rebalance,qqq_period_return_since_rebalance
concentrated,2019-05-03,2019-05-03,2019-04-30,2019-05-31,2019-05-31,False,-0.002394393939938011,-0.002394393939938011,0.997605606060062,1.1102230246251565e-16,0.9999999999999999,3,0,-0.0023408927163385274,0.0017298536617624816
concentrated,2019-05-10,2019-05-10,2019-04-30,2019-05-31,2019-05-31,False,0.004965289963934083,0.002559007163796423,1.0025590071637964,1.1102230246251565e-16,0.9999999999999999,3,0,-0.02246157247478575,-0.030296840894683097
concentrated,2019-05-17,2019-05-17,2019-04-30,2019-05-31,2019-05-31,False,-0.002506168841690637,4.642501808627131e-05,1.0000464250180863,1.1102230246251565e-16,0.9999999999999999,3,0,-0.03012987751834928,-0.040570376875617375
concentrated,2019-05-24,2019-05-24,2019-04-30,2019-05-31,2019-05-31,False,-0.0015216689979714593,-0.0014753146233958958,0.9985246853766041,1.1102230246251565e-16,0.9999999999999999,3,0,-0.04051287197631859,-0.06614943596529266
concentrated,2019-05-31,2019-05-31,2019-04-30,2019-05-31,2019-05-31,False,-0.018944123968730242,-0.020391490049007643,0.9796085099509924,1.1102230246251565e-16,0.9999999999999999,3,0,-0.06599459492158799,-0.08821697889078695
concentrated,2019-06-07,2019-06-07,2019-05-31,2019-06-28,2019-06-28,False,0.04147781592100808,0.04147781592100808,1.0202405314013927,0.0,1.0,3,0,0.0448220791123326,0.04357846023714873
concentrated,2019-06-14,2019-06-14,2019-05-31,2019-06-28,2019-06-28,False,-0.003268434094020778,0.03807381431928558,1.0169059424644584,0.0,1.0,3,0,0.05066980065811921,0.052801265217351956
concentrated,2019-06-21,2019-06-21,2019-05-31,2019-06-28,2019-06-28,False,0.0017918990597107776,0.03993393781107479,1.0187281352665747,0.0,1.0,3,0,0.07308071389362736,0.08698409907683247
concentrated,2019-06-28,2019-06-28,2019-05-31,2019-06-28,2019-06-28,False,-0.01392454067400084,0.025453335395750676,1.0045428139113062,0.0,1.0,3,0,0.06943054845932783,0.07881521872756347
concentrated,2019-07-05,2019-07-05,2019-06-28,2019-07-31,2019-07-31,False,-0.002432658398571874,-0.002432658398571874,1.0020991043983198,0.0,1.0,3,0,0.005999660636835991,0.003835682663166695
concentrated,2019-07-12,2019-07-12,2019-06-28,2019-07-31,2019-07-31,False,0.024896870160416418,0.022403646181550663,1.0270482356883943,0.0,1.0,3,0,0.013381687154752964,0.01686643615834793
concentrated,2019-07-19,2019-07-19,2019-06-28,2019-07-31,2019-07-31,False,-0.013099325091794012,0.009010848445182962,1.0135945969641587,0.0,1.0,3,0,0.0016517841744108086,0.0036253259680720795
concentrated,2019-07-26,2019-07-26,2019-06-28,2019-07-31,2019-07-31,False,0.021434777110961534,0.030638771084147587,1.0353207712309602,0.0,1.0,3,0,0.01796580937446679,0.026113860165541736
concentrated,2019-07-31,2019-07-31,2019-06-28,2019-07-31,2019-07-31,False,-0.03286403565344098,-0.0032321782345804406,1.0012959524924778,0.0,1.0,3,0,0.0025281320725401013,0.004098670302625784
concentrated,2019-08-02,2019-08-02,2019-07-31,2019-08-30,2019-08-30,False,-0.021137848932694214,-0.021137848932694214,0.9801307099117736,0.0,1.0,3,0,-0.01673424992692285,-0.021313387804120953
concentrated,2019-08-09,2019-08-09,2019-07-31,2019-08-30,2019-08-30,False,0.008366265978744458,-0.012948427820339115,0.9883307441248311,0.0,1.0,3,0,-0.02009422296608354,-0.02580592789936509
concentrated,2019-08-16,2019-08-16,2019-07-31,2019-08-30,2019-08-30,False,-0.0008070247287144117,-0.013745002847604493,0.9875331367741736,0.0,1.0,3,0,-0.029402458457713943,-0.031082025459178153
concentrated,2019-08-23,2019-08-23,2019-07-31,2019-08-30,2019-08-30,False,-0.012908725758480233,-0.0264762981337755,0.974785342334144,0.0,1.0,3,0,-0.04284303031220693,-0.04889529162237127
concentrated,2019-08-30,2019-08-30,2019-07-31,2019-08-30,2019-08-30,False,0.029354190776337274,0.00210070233609172,1.0033993772389977,0.0,1.0,3,0,-0.017305082838060093,-0.02068647538705859
