date,ticker,shares,price,market_value_usd,weight,cost_basis,unrealized_pnl_usd
2019-06-03,FDS,96.0,258.8158874511719,24846.3251953125,0.24892805890950187,258.8158874511719,0.0
2019-06-03,HEI,205.0,121.5122299194336,24910.007133483887,0.24956606960653602,121.5122299194336,0.0
2019-06-03,SBAC,125.0,199.46424865722656,24933.03108215332,0.2497967398084939,199.46424865722656,0.0
2019-06-04,FDS,96.0,266.3777770996094,25572.2666015625,0.2529631911794224,258.8158874511719,725.94140625
2019-06-04,HEI,205.0,124.1807632446289,25457.056465148926,0.2518235220129194,121.5122299194336,547.0493316650391
2019-06-04,SBAC,125.0,199.50099182128906,24937.623977661133,0.246685248519824,199.46424865722656,4.5928955078125
2019-06-05,FDS,96.0,268.21923828125,25749.046875,0.252342506605057,258.8158874511719,902.7216796875
2019-06-05,HEI,205.0,126.12510681152344,25855.646896362305,0.25338719446186597,121.5122299194336,945.639762878418
2019-06-05,SBAC,125.0,202.49169921875,25311.46240234375,0.2480541473808273,199.46424865722656,378.4313201904297
2019-06-06,FDS,96.0,270.79901123046875,25996.705078125,0.2542191457255067,258.8158874511719,1150.3798828125
2019-06-06,HEI,205.0,125.56959533691406,25741.767044067383,0.25172613251339765,121.5122299194336,831.7599105834961
2019-06-06,SBAC,125.0,203.18894958496094,25398.618698120117,0.2483705195962346,199.46424865722656,465.5876159667969
2019-06-07,FDS,96.0,273.089111328125,26216.5546875,0.2554047667873167,258.8158874511719,1370.2294921875
2019-06-07,HEI,205.0,126.92864990234375,26020.37322998047,0.2534935438976949,121.5122299194336,1110.366096496582
2019-06-07,SBAC,125.0,202.28994750976562,25286.243438720703,0.24634156491482265,199.46424865722656,353.2123565673828
2019-06-10,FDS,96.0,277.6879577636719,26658.0439453125,0.2582693321781641,258.8158874511719,1811.71875
2019-06-10,HEI,205.0,126.97825622558594,26030.542526245117,0.25218995243162873,121.5122299194336,1120.5353927612305
2019-06-10,SBAC,125.0,203.24400329589844,25405.500411987305,0.24613439900228648,199.46424865722656,472.4693298339844
2019-06-11,FDS,96.0,275.7437438964844,26471.3994140625,0.2569634237328376,258.8158874511719,1625.07421875
2019-06-11,HEI,205.0,125.9366226196289,25817.007637023926,0.25061110556256666,121.5122299194336,907.0005035400391
2019-06-11,SBAC,125.0,204.83116149902344,25603.89518737793,0.24854237833570023,199.46424865722656,670.8641052246094
2019-06-12,FDS,96.0,281.81005859375,27053.765625,0.259982469039069,258.8158874511719,2207.4404296875
2019-06-12,HEI,205.0,126.18463134765625,25867.84942626953,0.2485859992945961,121.5122299194336,957.8422927856445
2019-06-12,SBAC,125.0,208.11546325683594,26014.432907104492,0.2499946436879887,199.46424865722656,1081.4018249511719
2019-06-13,FDS,96.0,277.5010070800781,26640.0966796875,0.2575672361210851,258.8158874511719,1793.771484375
2019-06-13,HEI,205.0,126.44256591796875,25920.726013183594,0.25061206938329805,121.5122299194336,1010.718879699707
2019-06-13,SBAC,125.0,205.9595489501953,25744.943618774414,0.2489125340538621,199.46424865722656,811.9125366210938
2019-06-14,FDS,96.0,276.9868469238281,26590.7373046875,0.2572948398578467,258.8158874511719,1744.412109375
2019-06-14,HEI,205.0,125.1628646850586,25658.38726043701,0.2482733203498262,121.5122299194336,748.380126953125
2019-06-14,SBAC,125.0,207.79441833496094,25974.302291870117,0.25133014824030137,199.46424865722656,1041.2712097167969
2019-06-17,FDS,96.0,276.3420104980469,26528.8330078125,0.25644331403026355,258.8158874511719,1682.5078125
2019-06-17,HEI,205.0,125.26207733154297,25678.72585296631,0.24822567792069944,121.5122299194336,768.7187194824219
2019-06-17,SBAC,125.0,208.9411163330078,26117.639541625977,0.2524684759683929,199.46424865722656,1184.6084594726562
2019-06-18,FDS,96.0,280.7911682128906,26955.9521484375,0.2584961162176265,258.8158874511719,2109.626953125
2019-06-18,HEI,205.0,126.22431182861328,25875.983924865723,0.2481396802848696,121.5122299194336,965.9767913818359
2019-06-18,SBAC,125.0,210.59249877929688,26324.06234741211,0.2524365617807019,199.46424865722656,1391.031265258789
2019-06-19,FDS,96.0,282.3334655761719,27104.0126953125,0.2566109730978718,258.8158874511719,2257.6875
2019-06-19,HEI,205.0,129.85513305664062,26620.302276611328,0.25203137808971443,121.5122299194336,1710.2951431274414
2019-06-19,SBAC,125.0,214.1979217529297,26774.74021911621,0.25349354058037266,199.46424865722656,1841.7091369628906
2019-06-20,FDS,96.0,281.5951232910156,27033.1318359375,0.25692717887639227,258.8158874511719,2186.806640625
2019-06-20,HEI,205.0,128.109130859375,26262.371826171875,0.24960175331705828,121.5122299194336,1352.3646926879883
2019-06-20,SBAC,125.0,214.38143920898438,26797.679901123047,0.2546894062890354,199.46424865722656,1864.6488189697266
2019-06-21,FDS,96.0,278.6227111816406,26747.7802734375,0.255832685728621,258.8158874511719,1901.455078125
