date,equity_usd,cash_usd,cash_weight,stock_value_usd,position_count,fill_mode
2019-06-03,99753.28152582169,1065.8918544960106,0.010685281107470121,98687.38967132568,5,next_close
2019-06-04,102435.22644922257,1065.8918544960106,0.010405520556196323,101369.33459472656,5,next_close
2019-06-05,107005.44143030167,1065.8918544960106,0.00996109955015963,105939.54957580566,5,next_close
2019-06-06,107776.81588861466,1065.8918544960106,0.009889806501591122,106710.92403411865,5,next_close
2019-06-07,110024.60190698624,1065.8918544960106,0.009687759246764696,108958.71005249023,5,next_close
2019-06-10,110334.87348291397,1065.8918544960106,0.009660516397483979,109268.98162841797,5,next_close
2019-06-11,109234.91912958145,1065.8918544960106,0.009757794146682907,108169.02727508545,5,next_close
2019-06-12,110462.49349328995,1065.8918544960106,0.009649355367491848,109396.60163879395,5,next_close
2019-06-13,110919.13388177872,1065.8918544960106,0.009609630162024827,109853.24202728271,5,next_close
2019-06-14,109203.47281763077,1065.8918544960106,0.00976060400822641,108137.58096313477,5,next_close
2019-06-17,110061.64524194718,1065.8918544960106,0.009684498647579486,108995.75338745117,5,next_close
2019-06-18,110510.88093683243,1065.8918544960106,0.009645130375037642,109444.98908233643,5,next_close
2019-06-19,114897.39022943497,1065.8918544960106,0.00927690222003794,113831.49837493896,5,next_close
2019-06-20,114726.73137018204,1065.8918544960106,0.00929070184224773,113660.83951568604,5,next_close
2019-06-21,113829.73953363419,1065.8918544960106,0.009363913673729025,112763.84767913818,5,next_close
2019-06-24,111641.08685419083,1065.8918544960106,0.009547487260564938,110575.19499969482,5,next_close
2019-06-25,106839.46717187882,1065.8918544960106,0.009976574038704713,105773.57531738281,5,next_close
2019-06-26,107251.24596521378,1065.8918544960106,0.009938270132933705,106185.35411071777,5,next_close
2019-06-27,109723.59474298477,1065.8918544960106,0.009714335890951649,108657.70288848877,5,next_close
2019-06-28,110064.6293117714,1065.8918544960106,0.009684236081663827,108998.73745727539,5,next_close
2019-07-01,110619.7064106369,880.856961479195,0.007962929843705443,109738.84944915771,5,next_close
2019-07-02,113113.50657390595,880.856961479195,0.007787372066868618,112232.64961242676,5,next_close
2019-07-03,113767.14233898163,880.856961479195,0.00774263063455163,112886.28537750244,5,next_close
2019-07-05,114696.73724102021,880.856961479195,0.007679878108722388,113815.88027954102,5,next_close
2019-07-08,115528.43783306122,880.856961479195,0.007624589910512204,114647.58087158203,5,next_close
2019-07-09,116486.75415538788,880.856961479195,0.007561863731769648,115605.89719390869,5,next_close
2019-07-10,116281.1150333786,880.856961479195,0.00757523662570955,115400.25807189941,5,next_close
2019-07-11,115946.34348033906,880.856961479195,0.007597108585218656,115065.48651885986,5,next_close
2019-07-12,115470.93450664521,880.856961479195,0.007628386877119304,114590.07754516602,5,next_close
2019-07-15,116887.20406841279,880.856961479195,0.007535957152021868,116006.3471069336,5,next_close
