rebalance_date,policy,gross_return,cost,turnover,net_return,cash_weight,n_positions,selected_tickers,monster_count,winner_count,scout_count,equity,drawdown
2019-04-30,concentrated,-0.014236651136965758,0.00037500000000000006,0.07500000000000001,-0.014611651136965758,0.85,3,"NOW,ALGN,CDNS",0,0,3,0.9853883488630343,-0.01461165113696572
2019-05-31,concentrated,0.026541248660497035,0.0006125,0.1225,0.025928748660497037,0.655,6,"NOW,ALGN,CDNS,SBAC,BR,SHOP",0,0,5,1.0109382356936862,0.0
2019-06-28,concentrated,0.008158519668841036,0.000775,0.155,0.007383519668841036,0.345,8,"NOW,ALGN,CDNS,SBAC,BR,SHOP,ADBE,HEI",0,0,4,1.018402518040914,0.0
2019-07-31,concentrated,0.028221560474420877,0.0007124999999999999,0.1425,0.027509060474420876,0.10999999999999999,8,"NOW,CDNS,SBAC,BR,SHOP,ADBE,HEI,CTAS",0,0,1,1.046417814497004,0.0
2019-08-30,concentrated,-0.09797865182545677,0.001017857142857143,0.2035714285714286,-0.09899650896831391,1.1102230246251565e-16,8,"NOW,CDNS,SBAC,SHOP,ADBE,HEI,CTAS,MU",0,1,1,0.9428261039395479,-0.09899650896831391
2019-09-30,concentrated,5.1394401540948566e-05,0.0012042723631508678,0.24085447263017354,-0.0011528779616099194,0.0,8,"SBAC,SHOP,ADBE,HEI,CTAS,MU,GMED,SYY",0,2,3,0.9417391405026855,-0.10003525603645791
2019-10-31,concentrated,-0.011953546373783435,0.002138551401869159,0.4277102803738318,-0.014092097775652594,0.20999999999999996,7,"ADBE,CTAS,MU,SYY,AAPL,VST,NRG",0,1,3,0.9284680604555626,-0.11271764720303223
2019-11-29,concentrated,0.0553241282630923,0.0003,0.06,0.055024128263092296,0.08999999999999997,8,"ADBE,CTAS,MU,SYY,AAPL,VST,NRG,DPZ",0,1,3,0.979556206102254,-0.0638957092171536
2019-12-31,concentrated,-0.008981111316161354,0.0017362149532710283,0.34724299065420566,-0.010717326269432382,0.0,8,"ADBE,MU,SYY,AAPL,VST,NRG,DPZ,UNH",0,2,3,0.9690579826422089,-0.07392824432368894
2020-01-31,concentrated,0.0005895507273596555,0.0007807157510827447,0.15614315021654893,-0.00019116502372308922,0.0,8,"ADBE,MU,SYY,AAPL,NRG,DPZ,UNH,AMD",0,3,3,0.9688727326499681,-0.07410527685283197
2020-02-28,concentrated,-0.12013829320203769,0.0009061345158906135,0.1812269031781227,-0.1210444277179283,0.0,8,"ADBE,MU,AAPL,NRG,DPZ,AMD,XYZ,NOW",0,3,4,0.8515960871948474,-0.18617967374323063
2020-03-31,concentrated,0.1402063429382731,0.001325,0.265,0.13888134293827312,0.06999999999999995,8,"ADBE,MU,DPZ,AMD,XYZ,NOW,QGEN,MASI",0,2,5,0.9698668954254465,-0.0731552139222269
2020-04-30,concentrated,0.07342420215007497,0.0011812043795620438,0.23624087591240875,0.07224299777051293,0.0,8,"ADBE,MU,DPZ,AMD,NOW,QGEN,MASI,AMZN",0,3,1,1.0399329873893615,-0.006197168107998752
2020-05-29,concentrated,0.016543341274488057,0.001434631405969351,0.2869262811938702,0.015108709868518706,0.0,8,"ADBE,DPZ,AMD,NOW,QGEN,MASI,AMZN,CDNS",1,4,1,1.0556450331785292,0.0
2020-06-30,concentrated,0.09429291356309322,0.0007287691898127608,0.14575383796255215,0.09356414437328045,1.1102230246251565e-16,8,"ADBE,DPZ,AMD,NOW,QGEN,MASI,AMZN,CDNS",2,4,0,1.1544155574697814,0.0
2020-07-31,concentrated,0.08618168984102416,0.0007364233829124869,0.1472846765824974,0.08544526645811167,1.1102230246251565e-16,8,"ADBE,AMD,NOW,QGEN,MASI,AMZN,CDNS,MELI",2,5,1,1.2530549023811763,0.0
2020-08-31,concentrated,-0.040573366037270193,0.0010141819439640262,0.20283638879280524,-0.04158754798123422,0.0,8,"ADBE,AMD,NOW,QGEN,AMZN,CDNS,MELI,WDAY",5,1,1,1.2009434215052783,-0.04158754798123432
2020-09-30,concentrated,-0.025661262011416934,0.00011392973397687702,0.022785946795375406,-0.025775191745393812,0.0,8,"ADBE,AMD,NOW,QGEN,AMZN,CDNS,MELI,WDAY",5,1,0,1.1699888745406106,-0.06629081270319093
