rebalance_date,ticker,weight,stage,monster_onset_score,cum_return,peak_return,months_held,bad_months,period_forward_return,risk_adjusted_forward_return,weighted_forward_return,risk_exit_proxy,risk_exit_reason,hard_stop_proxy,sector,industry_group,theme_horizon_primary,theme_holding_profile_primary,theme_event_risk_sensitivity_max,theme_structural_growth_max,technical_leadership_signal,leadership_signal,growth_signal,rs_acceleration_score,revenue_growth_final,revision_score,portfolio_monster_early_score,portfolio_risk_entry_block_score,portfolio_defensive_rotation_action,distribution_risk_score,explosion_exit_score,stage2_overext_penalty
2019-04-30,ALGN,0.03,scout,1.3828825931097242,0.0,0.0,0,0,-0.1456680915583611,-0.1,-0.003,True,monthly_hard_stop_proxy,-0.1,Health Care,Medical Devices,unknown,neutral,0.35,0.35,1.0,1.0,1.0,2.3535904408987065,nan,1.0,0.3739077285780416,0.0135416666666666,neutral,0.5148237082807853,0.0,0.0
2019-04-30,CDNS,0.03,scout,1.3600405359267675,-0.08836203801740516,0.0,1,0,-0.0883620380174052,-0.0883620380174052,-0.002650861140522156,False,hold,-0.1,Information Technology,Software - Application,unknown,neutral,0.35,0.35,1.0,1.8930598332880448,1.0,0.6237218476820772,nan,1.0,0.5914604639167291,0.1083333333333333,promote_monster_early,0.4062287348994117,0.0,0.0
2019-04-30,ADBE,0.03,scout,1.3014265360881911,-0.06776632721891096,0.0,1,0,-0.067766327218911,-0.067766327218911,-0.00203298981656733,False,hold,-0.1,Information Technology,Software - Application,structural_growth,long_duration,0.15,1.0,1.0,1.8930598332880448,1.0,0.0744953869584751,nan,1.0,0.5371589772743547,0.0135416666666666,neutral,0.151809073128744,0.0,0.0
2019-05-31,CDNS,0.03,scout,0.3194764421626283,0.05620978786748987,0.05620978786748987,2,1,0.1585846925137757,0.1585846925137757,0.00475754077541327,False,hold,-0.1,Information Technology,Software - Application,unknown,neutral,0.35,0.35,0.6056035876822389,2.475683110210262,1.0,-0.992073851312914,nan,1.0,0.43232335380137,0.2552083333333333,neutral,0.5259785323702689,0.0,0.0
2019-05-31,ADBE,0.03,scout,0.5762084679868811,0.03796329911846863,0.03796329911846863,2,0,0.1134153693697432,0.1134153693697432,0.003402461081092296,False,hold,-0.1,Information Technology,Software - Application,structural_growth,long_duration,0.15,1.0,0.4294542509631311,2.475683110210262,1.0,0.0848256621357195,nan,1.0,0.4294542509631311,0.0270833333333333,neutral,0.5259785323702689,0.0,0.0
2019-05-31,SBAC,0.03,scout,0.9879293859019418,0.04003706086082359,0.04003706086082359,1,0,0.0400370608608235,0.0400370608608235,0.001201111825824705,False,hold,-0.1,Real Estate,Equity REITs,unknown,neutral,0.35,0.35,1.0,1.0,1.0,0.3674077682301169,nan,1.0,0.5107681585199825,0.0,neutral,0.5259785323702689,0.0,0.0
2019-05-31,BR,0.03,scout,0.9651219411975177,0.04162107800315962,0.04162107800315962,1,0,0.0416210780031596,0.0416210780031596,0.001248632340094788,False,hold,-0.1,Industrials,Software - Infrastructure,unknown,neutral,0.35,0.35,1.0,1.0,0.3202172440290086,1.8226748214822808,nan,0.0,0.3769978736730331,0.0135416666666666,neutral,0.5259785323702689,0.0,0.0
2019-05-31,MKTX,0.03,scout,0.8995560875444899,0.08691697414960298,0.08691697414960298,1,0,0.0869169741496029,0.0869169741496029,0.0026075092244880866,False,hold,-0.1,Financials,Capital Markets,unknown,neutral,0.35,0.35,1.0,1.0,0.8337267903988055,0.5772356283420808,nan,0.8337267903988055,0.5207410358350839,0.1083333333333333,neutral,0.5259785323702689,0.0,0.0
2019-06-28,CDNS,0.08,confirm,0.8193749181985036,0.10235354840303157,0.10235354840303157,3,0,0.0436880637403549,0.0436880637403549,0.003495045099228392,False,hold,-0.1,Information Technology,Software - Application,unknown,neutral,0.35,0.35,0.94,1.955971333241528,1.0,-1.735924576932224,nan,1.0,0.5603928376163535,0.2416666666666667,neutral,0.1746973725859344,0.0,0.0
2019-06-28,ADBE,0.08,confirm,1.1261685450181915,0.05203149685527997,0.05203149685527997,3,0,0.0135536562311588,0.0135536562311588,0.001084292498492704,False,hold,-0.1,Information Technology,Software - Application,structural_growth,long_duration,0.15,1.0,0.94,1.955971333241528,1.0,-0.0012244575191531,nan,1.0,0.5412434358121541,0.1333333333333333,neutral,0.0516149525445256,0.0,0.0
2019-06-28,SBAC,0.03,scout,0.6823887496988124,0.13687182340923476,0.13687182340923476,2,0,0.0931070306939469,0.0931070306939469,0.0027932109208184067,False,hold,-0.1,Real Estate,Equity REITs,unknown,neutral,0.35,0.35,0.7611454918669506,0.7611454918669506,1.0,-0.3664415715013165,nan,1.0,0.4485091018603595,0.1333333333333333,neutral,0.0516149525445256,0.0,0.0
