ticker,side,quantity,reference_price,limit_price,gross_value_usd,estimated_fee_usd,cash_impact_usd,current_shares,current_weight,target_weight,target_value_usd,current_value_usd,trade_value_delta_usd,order_type,time_in_force,reason,status,estimated_cash_after_usd,client_order_id,idempotency_key
SNDK,SELL,16.0,2184.75,2179.288125,34956.0,87.39,34868.61,60.0,0.16504976923982356,0.12,95305.79819922938,131085.0,-35779.20180077062,limit,day,target_rebalance,ready,153468.4307708608,r1k-M-20260618-S-SNDK-e789416d4191,e789416d41919de254900eb75082d524687961e4dc1e59df3086e7245e8f86c7
MRVL,SELL,90.0,310.5799865722656,309.80353660583495,27952.198791503906,69.88049697875977,27882.318294525146,308.0,0.12044425964215631,0.0849520252680818,67470.17147346365,95658.63586425781,-28188.464390794165,limit,day,target_rebalance,ready,181350.74906538596,r1k-M-20260618-S-MRVL-7384801fd4f3,7384801fd4f3bf08ab53282b5e18935905ae32eaca9b9a4bee2917a8929cb60c
WDC,SELL,34.0,746.22998046875,744.3644055175781,25371.8193359375,63.42954833984375,25308.389787597655,152.0,0.14281644035231486,0.1099989190085882,87362.7898097157,113426.95703125,-26064.1672215343,limit,day,target_rebalance,ready,206659.1388529836,r1k-M-20260618-S-WDC-98d18e427bf8,98d18e427bf8d3f5f82757dd8dcb1d3ffcd01e27ebf49a1578f073ac8230f526
MU,SELL,12.0,1133.989990234375,1131.155015258789,13607.8798828125,34.01969970703125,13573.86018310547,35.0,0.04997343340043382,0.0320665448094318,25467.730404618782,39689.649658203125,-14221.919253584343,limit,day,target_rebalance,ready,220232.99903608905,r1k-M-20260618-S-MU-ccec3c9d0be3,ccec3c9d0be3d87e95a93d0e41843bd4069a70ca33d34b98eaf924a59f1bff39
STM,SELL,66.0,78.38999938964844,78.19402439117432,5173.739959716797,12.934349899291993,5160.805609817505,1144.0,0.11291421214179549,0.1063291908532586,84448.23671790009,89678.15930175781,-5229.922583857726,limit,day,target_rebalance,ready,225393.80464590655,r1k-M-20260618-S-STM-e0da38801e50,e0da38801e50010b93f6925b9ba9cb308b61db60fa368ef90ce80626c5a74886
CIEN,BUY,68.0,428.2200012207031,429.29055122375485,29118.960083007812,72.79740020751953,-29191.757483215333,103.0,0.055534913038802786,0.092525549905502,73485.17822972084,44106.66012573242,29378.51810398842,limit,day,target_rebalance,ready,196202.04716269122,r1k-M-20260618-B-CIEN-dd591af42ef3,dd591af42ef37c22a536ba7bb5015d9f6165d49a9c3066d851a7558dd96f6e55
LITE,BUY,20.0,850.0,852.125,17000.0,42.5,-17042.5,39.0,0.04173932830072206,0.0632148778167302,50206.20323658525,33150.0,17056.20323658525,limit,day,target_rebalance,ready,179159.54716269122,r1k-M-20260618-B-LITE-dc83e8a39747,dc83e8a39747997c21707a8b41ae9220348d11837d289f28324341d47cdaffd2
PWR,BUY,17.0,702.25,704.005625,11938.25,29.845625000000002,-11968.095625,42.0,0.03713667024330759,0.0525883589251918,41766.462694608104,29494.5,12271.962694608104,limit,day,target_rebalance,ready,167191.45153769123,r1k-M-20260618-B-PWR-e332362cc0f8,e332362cc0f8a7a1b7359ad2b66ce87a94218bf2fa6061158cbfecf43c811348
FIX,BUY,4.0,1967.4100341796875,1972.3285592651366,7869.64013671875,19.674100341796876,-7889.3142370605465,12.0,0.029726107988691686,0.0396390064619635,31481.89292234869,23608.92041015625,7872.972512192438,limit,day,target_rebalance,ready,159302.13730063068,r1k-M-20260618-B-FIX-82fdf6c13387,82fdf6c133874d831da7876087b3bac7137cc06467bd5be75e7d90e62bb12eff
ON,BUY,40.0,121.62000274658203,121.92405275344848,4864.800109863281,12.162000274658203,-4876.96211013794,329.0,0.05038054136431211,0.0565555884393195,44917.29582363712,40012.98090362549,4904.314920011631,limit,day,target_rebalance,ready,154425.17519049274,r1k-M-20260618-B-ON-e8e485519926,e8e4855199262dbd1e2dd8a69d7e0c6ac6d1f31fdfb91d33e2128b42b01aac41
COHR,BUY,5.0,389.57000732421875,390.5439323425293,1947.8500366210938,4.869625091552734,-1952.7196617126465,46.0,0.022563437703280002,0.0253301407185236,20117.577330647444,17920.220336914062,2197.3569937333814,limit,day,target_rebalance,ready,152472.4555287801,r1k-M-20260618-B-COHR-c26f03d0fdca,c26f03d0fdca2a80c2829cd444016d22734176c76560966d9110b4d236b9b1f6
KEYS,BUY,4.0,363.6700134277344,364.5791884613037,1454.6800537109375,3.6367001342773437,-1458.3167538452149,20.0,0.009157974107745522,0.0112117150829116,8904.51212632691,7273.4002685546875,1631.1118577722227,limit,day,target_rebalance,ready,151014.13877493487,r1k-M-20260618-B-KEYS-f13d2f9c950c,f13d2f9c950c240af5d552b617cc5f105d5b41fd033fa02ebe773b2b2b0c615e
