ticker,side,quantity,fill_price,gross_value,fee_usd,cash_delta,cash_after,shares_after,date,signal_date,reason,target_weight,fill_mode
BRKR,BUY,38.0,49.258934020996094,1871.8394927978516,4.679598731994629,-1876.5190915298463,98123.48090847016,38.0,2019-07-01,2019-06-28,target_rebalance,0.0188734773964822,next_close
ALLE,BUY,18.0,101.91130828857422,1834.403549194336,4.58600887298584,-1838.9895580673217,96284.49135040284,18.0,2019-07-01,2019-06-28,target_rebalance,0.0193197728861421,next_close
MELI,BUY,3.0,619.3099975585938,1857.9299926757812,4.644824981689453,-1862.5748176574707,94421.91653274537,3.0,2019-07-01,2019-06-28,target_rebalance,0.0196816380310636,next_close
BLD,BUY,26.0,81.0199966430664,2106.5199127197266,5.266299781799317,-2111.786212501526,92310.13032024384,26.0,2019-07-01,2019-06-28,target_rebalance,0.0213913558210136,next_close
EXP,BUY,25.0,85.14261627197266,2128.5654067993164,5.321413516998291,-2133.8868203163147,90176.24349992753,25.0,2019-07-01,2019-06-28,target_rebalance,0.0214753398960925,next_close
OLED,BUY,12.0,179.75796508789062,2157.0955810546875,5.392738952636718,-2162.488320007324,88013.7551799202,12.0,2019-07-01,2019-06-28,target_rebalance,0.0220474860159388,next_close
PAGS,BUY,71.0,36.51414108276367,2592.5040168762207,6.481260042190552,-2598.9852769184113,85414.7699030018,71.0,2019-07-01,2019-06-28,target_rebalance,0.0259324908452137,next_close
TREX,BUY,80.0,35.560001373291016,2844.8001098632812,7.112000274658203,-2851.9121101379396,82562.85779286386,80.0,2019-07-01,2019-06-28,target_rebalance,0.0285142120636767,next_close
AWI,BUY,31.0,91.96707916259766,2850.9794540405273,7.127448635101318,-2858.1069026756286,79704.75089018822,31.0,2019-07-01,2019-06-28,target_rebalance,0.0291959251351918,next_close
URI,BUY,25.0,129.51016235351562,3237.7540588378906,8.094385147094727,-3245.8484439849854,76458.90244620324,25.0,2019-07-01,2019-06-28,target_rebalance,0.032665412394692,next_close
CHDN,BUY,60.0,56.81071472167969,3408.6428833007812,8.521607208251954,-3417.1644905090334,73041.7379556942,60.0,2019-07-01,2019-06-28,target_rebalance,0.0341932879751336,next_close
KBR,BUY,156.0,23.020477294921875,3591.1944580078125,8.977986145019532,-3600.172444152832,69441.56551154137,156.0,2019-07-01,2019-06-28,target_rebalance,0.0359585434220015,next_close
SHOP,BUY,138.0,30.468000411987305,4204.584056854248,10.51146014213562,-4215.095516996384,65226.46999454498,138.0,2019-07-01,2019-06-28,target_rebalance,0.0422173253124674,next_close
PAYC,BUY,19.0,221.28439331054688,4204.403472900391,10.511008682250976,-4214.914481582641,61011.55551296234,19.0,2019-07-01,2019-06-28,target_rebalance,0.0423374509357681,next_close
MA,BUY,17.0,256.4799499511719,4360.159149169922,10.900397872924804,-4371.059547042847,56640.495965919494,17.0,2019-07-01,2019-06-28,target_rebalance,0.0445346203921928,next_close
RGEN,BUY,59.0,86.05000305175781,5076.950180053711,12.692375450134278,-5089.642555503845,51550.85341041565,59.0,2019-07-01,2019-06-28,target_rebalance,0.0515993385592524,next_close
HEI,BUY,83.0,131.76046752929688,10936.11880493164,27.340297012329103,-10963.45910194397,40587.39430847168,83.0,2019-07-01,2019-06-28,target_rebalance,0.1100623229176765,next_close
TER,BUY,239.0,47.42101287841797,11333.622077941895,28.334055194854738,-11361.95613313675,29225.43817533493,239.0,2019-07-01,2019-06-28,target_rebalance,0.1134218584731427,next_close
EXP,SELL,25.0,78.5798110961914,1964.4952774047852,4.911238193511963,1959.5840392112732,31185.022214546203,0.0,2019-08-01,2019-07-31,target_exit,,next_close
URI,SELL,25.0,116.56880950927734,2914.2202377319336,7.285550594329834,2906.9346871376038,34091.95690168381,0.0,2019-08-01,2019-07-31,target_exit,,next_close
TER,SELL,5.0,53.218746185302734,266.0937309265137,0.6652343273162842,265.4284965991974,34357.385398283004,234.0,2019-08-01,2019-07-31,target_rebalance,0.12,next_close
BRKR,SELL,31.0,45.58405685424805,1413.1057624816895,3.532764406204224,1409.5729980754852,35766.95839635849,7.0,2019-08-01,2019-07-31,target_rebalance,0.0028930787396161,next_close
BLD,SELL,16.0,85.77999877929688,1372.47998046875,3.431199951171875,1369.048780517578,37136.00717687607,10.0,2019-08-01,2019-07-31,target_rebalance,0.0076032763484987,next_close
ALLE,SELL,17.0,93.65019989013672,1592.0533981323242,3.9801334953308105,1588.0732646369934,38724.08044151306,1.0,2019-08-01,2019-07-31,target_rebalance,0.0007435806339622,next_close
AWI,SELL,21.0,88.9627456665039,1868.217658996582,4.670544147491455,1863.5471148490906,40587.62755636215,10.0,2019-08-01,2019-07-31,target_rebalance,0.0081394568070252,next_close
KBR,SELL,117.0,23.038843154907227,2695.5446491241455,6.738861622810364,2688.805787501335,43276.433343863486,39.0,2019-08-01,2019-07-31,target_rebalance,0.0086547070978234,next_close
CHDN,SELL,53.0,61.59781265258789,3264.684070587158,8.161710176467896,3256.5223604106905,46532.95570427418,7.0,2019-08-01,2019-07-31,target_rebalance,0.0040316047793747,next_close
HEI,SELL,41.0,136.98121643066406,5616.229873657227,14.040574684143067,5602.189298973083,52135.145003247264,42.0,2019-08-01,2019-07-31,target_rebalance,0.0543322865832853,next_close
SHOP,BUY,4.0,34.138999938964844,136.55599975585938,0.3413899993896484,-136.89738975524904,51998.247613492014,142.0,2019-08-01,2019-07-31,target_rebalance,0.0471457961041753,next_close
RGEN,BUY,2.0,95.51000213623047,191.02000427246094,0.4775500106811523,-191.49755428314208,51806.75005920887,61.0,2019-08-01,2019-07-31,target_rebalance,0.0565739642929398,next_close
OLED,BUY,6.0,196.6541748046875,1179.925048828125,2.9498126220703127,-1182.8748614501953,50623.87519775867,18.0,2019-08-01,2019-07-31,target_rebalance,0.035066814768497,next_close
PAYC,BUY,8.0,231.89047241210938,1855.123779296875,4.637809448242187,-1859.7615887451173,48764.113609013555,27.0,2019-08-01,2019-07-31,target_rebalance,0.0618187141405175,next_close
MELI,BUY,3.0,626.4500122070312,1879.3500366210938,4.698375091552735,-1884.0484117126464,46880.06519730091,6.0,2019-08-01,2019-07-31,target_rebalance,0.0395877859669535,next_close
PAGS,BUY,52.0,42.74040222167969,2222.5009155273438,5.556252288818359,-2228.0571678161623,44652.00802948474,123.0,2019-08-01,2019-07-31,target_rebalance,0.051133575749446,next_close
V,BUY,18.0,170.4923553466797,3068.8623962402344,7.6721559906005865,-3076.534552230835,41575.47347725391,18.0,2019-08-01,2019-07-31,target_rebalance,0.0312037599734718,next_close
