ticker,side,quantity,fill_price,gross_value,fee_usd,cash_delta,cash_after,shares_after,date,signal_date,reason,target_weight,fill_mode
PAYC,BUY,119.0,192.3712158203125,22892.174682617188,57.23043670654297,-22949.405119323732,77050.59488067628,119.0,2019-06-03,2019-05-31,target_rebalance,0.2292883411541443,next_close
HEI,BUY,301.0,121.46788787841797,36561.83425140381,91.40458562850952,-36653.23883703232,40397.35604364396,301.0,2019-06-03,2019-05-31,target_rebalance,0.3659511187243432,next_close
SHOP,BUY,1509.0,26.5,39988.5,99.97125,-40088.47125,308.8847936439561,1509.0,2019-06-03,2019-05-31,target_rebalance,0.4,next_close
PAYC,SELL,3.0,221.2843780517578,663.8531341552734,1.6596328353881837,662.1935013198853,971.0782949638414,116.0,2019-07-01,2019-06-28,target_rebalance,0.2268841865423635,next_close
SHOP,SELL,162.0,30.468000411987305,4935.816066741943,12.339540166854858,4923.476526575088,5894.55482153893,1347.0,2019-07-01,2019-06-28,target_rebalance,0.3653984090991745,next_close
HEI,BUY,39.0,131.71240234375,5136.78369140625,12.841959228515625,-5149.625650634765,744.9291709041645,340.0,2019-07-01,2019-06-28,target_rebalance,0.4,next_close
SHOP,SELL,101.0,34.138999938964844,3448.038993835449,8.620097484588623,3439.4188963508605,4184.348067255025,1246.0,2019-08-01,2019-07-31,target_rebalance,0.3537886979581587,next_close
HEI,SELL,131.0,136.9312286376953,17937.990951538086,44.844977378845215,17893.14597415924,22077.494041414266,209.0,2019-08-01,2019-07-31,target_rebalance,0.2377569995887125,next_close
PAYC,BUY,91.0,231.89044189453125,21102.030212402344,52.75507553100586,-21154.78528793335,922.7087534809143,207.0,2019-08-01,2019-07-31,target_rebalance,0.4,next_close
PAYC,SELL,82.0,238.11952209472656,19525.800811767578,48.81450202941895,19476.98630973816,20399.695063219075,125.0,2019-09-03,2019-08-30,target_rebalance,0.2324503285251787,next_close
SHOP,BUY,82.0,38.39099884033203,3148.0619049072266,7.870154762268067,-3155.9320596694947,17243.76300354958,1328.0,2019-09-03,2019-08-30,target_rebalance,0.4,next_close
HEI,BUY,114.0,140.8999786376953,16062.597564697266,40.15649391174316,-16102.754058609009,1141.0089449405696,323.0,2019-09-03,2019-08-30,target_rebalance,0.3579438209307696,next_close
HEI,SELL,323.0,118.96281433105469,38424.989028930664,96.06247257232667,38328.92655635834,39469.93550129891,0.0,2019-10-01,2019-09-30,target_exit,,next_close
PAYC,SELL,125.0,202.70431518554688,25338.03939819336,63.3450984954834,25274.694299697876,64744.62980099679,0.0,2019-10-01,2019-09-30,target_exit,,next_close
