portfolio,ticker,current_weight,target_weight,selected_vs_retained,lane,theme,sector,subindustry,leader_state,selection_reason,hold_reason,risk_reason,rs_spy_1m,rs_spy_3m,rs_spy_6m,rs_qqq_1m,rs_qqq_3m,rs_qqq_6m,rs_smh_soxx_if_applicable,valuation_flag,quality_flag,evidence_flag,top7_score,form4_score,etf_score,gate_status,is_new_buy_signal,is_replay_retention,data_pit_status,membership_pit_status
concentrated,SNDK,0.3843085291265034,0.2048283543451299,replay_retained_holding,MARKET_LEADER,,Information Technology,Tech Hardware & Storage,DUAL_LEADER,MARKET_LEADER|hold_forward_to_latest_close|regime_capacity_dampened,vnext_score_and_risk_intact,green,0.7781271170486506,0.8614299164176229,4.5364446889039485,0.7192349174265142,0.8277220079566394,4.530268138514998,4.599581088515311,missing_or_neutral,quality_support,positive_evidence,,0.0,0.0,future_relaxed,False,True,pit_available_from_present,unlabeled_or_proxy_source:current_constituents_proxy_static_seed+strategic_global_hardware
concentrated,BE,0.2362703553973594,0.285,replay_retained_holding,MARKET_LEADER,,Industrials,Capital Goods - Machinery,DUAL_LEADER,MARKET_LEADER|hold_forward_to_latest_close|regime_capacity_dampened,new_candidate_cleared_vnext_gates,green,1.2338406028207596,0.8305618995222053,1.1532107942364267,1.1749484031986233,0.7968539910612218,1.147034243847477,1.2163471938477897,missing_or_neutral,quality_support,positive_evidence,,0.0,0.0,future_relaxed,False,True,pit_available_from_present,unlabeled_or_proxy_source:cycle_play_whitelist
concentrated,WDC,0.2093310643384013,0.3923291279258925,replay_retained_holding,MARKET_LEADER,,Information Technology,Tech Hardware & Storage,DUAL_LEADER,MARKET_LEADER|hold_forward_to_latest_close|regime_capacity_dampened,vnext_score_and_risk_intact,green,0.5893724528246296,0.6959060964333066,2.0866317264515866,0.5304802532024933,0.6621981879723231,2.0804551760626366,2.1497681260629493,missing_or_neutral,quality_support,positive_evidence,,0.0,0.0,rejected,False,True,pit_available_from_present,unlabeled_or_proxy_source:current_constituents_proxy_static_seed+strategic_global_hardware
concentrated,CIEN,0.0706803952848714,0.1211413625731833,replay_retained_holding,MARKET_LEADER,,Information Technology,Communication Equipment,DUAL_LEADER,MARKET_LEADER|hold_forward_to_latest_close|regime_capacity_dampened,vnext_score_and_risk_intact,green,0.3082504943028583,1.0537437834495564,1.7288830666491994,0.249358294680722,1.020035874988573,1.7227065162602495,1.7920194662605624,missing_or_neutral,quality_support,positive_evidence,,0.0,0.0,future_relaxed,False,True,pit_available_from_present,unlabeled_or_proxy_source:current_constituents_proxy_static_seed+strategic_global_hardware
concentrated,LITE,0.0421552158650432,0.0647739303492055,replay_retained_holding,MARKET_LEADER,,Information Technology,Communication Equipment,DUAL_LEADER,MARKET_LEADER|hold_forward_to_latest_close|regime_capacity_dampened,vnext_score_and_risk_intact,green,0.2408554446504478,1.2613692730169628,3.4455328918953176,0.1819632450283115,1.2276613645559793,3.439356341506368,3.5086692915066804,missing_or_neutral,quality_support,positive_evidence,,0.0,0.0,future_relaxed,False,True,unknown_pit_available_from,unlabeled_or_proxy_source:current_constituents_proxy_static_seed+strategic_global_hardware
concentrated,CASH,0.0572544399878211,0.0,cash_position,CASH,,Cash,,green,cash_from_vnext_regime_capacity_overlay,nan,green,,,,,,,-999.0,missing_or_neutral,missing_or_neutral,missing_or_neutral,,,,nan,False,True,unknown_pit_available_from,unknown_membership_pit
main,SNDK,0.1205902398344272,0.12,replay_retained_holding,MARKET_LEADER,,Information Technology,Tech Hardware & Storage,DUAL_LEADER,MARKET_LEADER|hold_forward_to_latest_close,vnext_score_and_risk_intact,green,0.7781271170486506,0.8614299164176229,4.5364446889039485,0.7192349174265142,0.8277220079566394,4.530268138514998,4.599581088515311,missing_or_neutral,quality_support,positive_evidence,,0.0,0.0,future_relaxed,False,True,pit_available_from_present,unlabeled_or_proxy_source:current_constituents_proxy_static_seed+strategic_global_hardware
main,WDC,0.1111149864807959,0.0342812027605514,replay_retained_holding,MARKET_LEADER,,Information Technology,Tech Hardware & Storage,DUAL_LEADER,MARKET_LEADER|hold_forward_to_latest_close,vnext_score_and_risk_intact,green,0.5893724528246296,0.6959060964333066,2.0866317264515866,0.5304802532024933,0.6621981879723231,2.0804551760626366,2.1497681260629493,missing_or_neutral,quality_support,positive_evidence,,0.0,0.0,rejected,False,True,pit_available_from_present,unlabeled_or_proxy_source:current_constituents_proxy_static_seed+strategic_global_hardware
main,STM,0.1055548285237489,0.12,replay_retained_holding,MARKET_LEADER,,Semiconductors,Semiconductors,DUAL_LEADER,MARKET_LEADER|hold_forward_to_latest_close,new_candidate_cleared_vnext_gates,green,0.6233621860812699,0.9412814974820376,1.2062262035910265,0.5644699864591336,0.907573589021054,1.2000496532020768,1.2693626032023897,missing_or_neutral,missing_or_neutral,positive_evidence,,0.0,0.0,early_relaxed,False,True,unknown_pit_available_from,unlabeled_or_proxy_source:adr_whitelist
main,CIEN,0.0923460205925253,0.0926673484376771,replay_retained_holding,MARKET_LEADER,,Information Technology,Communication Equipment,DUAL_LEADER,MARKET_LEADER|hold_forward_to_latest_close,vnext_score_and_risk_intact,green,0.3082504943028583,1.0537437834495564,1.7288830666491994,0.249358294680722,1.020035874988573,1.7227065162602495,1.7920194662605624,missing_or_neutral,quality_support,positive_evidence,,0.0,0.0,future_relaxed,False,True,pit_available_from_present,unlabeled_or_proxy_source:current_constituents_proxy_static_seed+strategic_global_hardware
