rebalance_date,ticker,weight,Name,sector,portfolio_sleeve_label,leader_circuit_state,leader_circuit_multiplier,leader_circuit_source_rebalance_date,leader_circuit_target_book
2019-05-31,FDS,0.5,FACTSET RESEARCH SYSTEMS INC,Financials,early_scout,normal,1.0,2019-05-31,True
2019-05-31,HEI,0.5,HEICO CORP,Industrials,future_winner,normal,1.0,2019-05-31,True
2019-06-28,HD,0.5,HOME DEPOT INC,Consumer Discretionary,core_compounder,normal,1.0,2019-06-28,True
2019-06-28,HEI,0.4999999999999999,HEICO CORP,Industrials,future_winner,normal,1.0,2019-06-28,True
2019-07-31,CTAS,0.5,CINTAS CORP,Industrials,early_scout,normal,1.0,2019-07-31,True
2019-07-31,HD,0.5,HOME DEPOT INC,Consumer Discretionary,core_compounder,normal,1.0,2019-07-31,True
2019-08-30,HD,0.5,HOME DEPOT INC,Consumer Discretionary,core_compounder,normal,1.0,2019-08-30,True
2019-08-30,RMD,0.5,RESMED INC,Health Care,future_winner,normal,1.0,2019-08-30,True
2019-09-30,MLM,0.5,MARTIN MARIETTA MATERIALS INC,Materials,early_scout,normal,1.0,2019-09-30,True
2019-09-30,SHW,0.5,SHERWIN WILLIAMS,Materials,future_winner,normal,1.0,2019-09-30,True
2019-10-31,BKNG,0.5,BOOKING HOLDINGS INC,Consumer Discretionary,early_scout,normal,1.0,2019-10-31,True
2019-10-31,ORLY,0.5,OREILLY AUTOMOTIVE INC,Consumer Discretionary,early_scout,normal,1.0,2019-10-31,True
2019-11-29,AAPL,0.5,APPLE INC,Information Technology,core_compounder,normal,1.0,2019-11-29,True
2019-11-29,BABA,0.5,Alibaba Group,Internet,future_winner,normal,1.0,2019-11-29,True
2019-12-31,BABA,0.5,Alibaba Group,Internet,future_winner,normal,1.0,2019-12-31,True
2019-12-31,TSLA,0.5,TESLA INC,Consumer Discretionary,early_scout,normal,1.0,2019-12-31,True
2020-01-31,BABA,0.5,Alibaba Group,Internet,future_winner,normal,1.0,2020-01-31,True
2020-01-31,GOOG,0.5,ALPHABET INC CLASS C,Communication,future_winner,normal,1.0,2020-01-31,True
2020-02-25,BABA,0.4,Alibaba Group,Internet,future_winner,caution,0.8,2020-01-31,True
2020-02-25,GOOG,0.4,ALPHABET INC CLASS C,Communication,future_winner,caution,0.8,2020-01-31,True
2020-02-28,BABA,0.4,Alibaba Group,Internet,future_winner,caution,0.8,2020-02-28,True
2020-02-28,NOW,0.4,SERVICENOW INC,Information Technology,future_winner,caution,0.8,2020-02-28,True
2020-03-09,BABA,0.25,Alibaba Group,Internet,future_winner,crisis,0.5,2020-02-28,True
2020-03-09,NOW,0.25,SERVICENOW INC,Information Technology,future_winner,crisis,0.5,2020-02-28,True
2020-03-26,BABA,0.5,Alibaba Group,Internet,future_winner,normal,1.0,2020-02-28,True
2020-03-26,NOW,0.5,SERVICENOW INC,Information Technology,future_winner,normal,1.0,2020-02-28,True
2020-03-27,BABA,0.25,Alibaba Group,Internet,future_winner,crisis,0.5,2020-02-28,True
2020-03-27,NOW,0.25,SERVICENOW INC,Information Technology,future_winner,crisis,0.5,2020-02-28,True
2020-03-30,BABA,0.4,Alibaba Group,Internet,future_winner,caution,0.8,2020-02-28,True
2020-03-30,NOW,0.4,SERVICENOW INC,Information Technology,future_winner,caution,0.8,2020-02-28,True
2020-03-31,JD,0.5,JD.com,Internet,early_scout,normal,1.0,2020-03-31,True
2020-03-31,VRTX,0.5,VERTEX PHARMACEUTICALS INC,Health Care,future_winner,normal,1.0,2020-03-31,True
2020-04-01,JD,0.25,JD.com,Internet,early_scout,crisis,0.5,2020-03-31,True
2020-04-01,VRTX,0.25,VERTEX PHARMACEUTICALS INC,Health Care,future_winner,crisis,0.5,2020-03-31,True
2020-04-02,JD,0.5,JD.com,Internet,early_scout,normal,1.0,2020-03-31,True
2020-04-02,VRTX,0.5,VERTEX PHARMACEUTICALS INC,Health Care,future_winner,normal,1.0,2020-03-31,True
2020-04-30,AMZN,0.5,AMAZON.COM INC,Consumer Discretionary,future_winner,normal,1.0,2020-04-30,True
2020-04-30,ZTO,0.5,ZTO Express,Industrials,early_scout,normal,1.0,2020-04-30,True
2020-05-01,AMZN,0.4,AMAZON.COM INC,Consumer Discretionary,future_winner,caution,0.8,2020-04-30,True
2020-05-01,ZTO,0.4,ZTO Express,Industrials,early_scout,caution,0.8,2020-04-30,True
2020-05-08,AMZN,0.5,AMAZON.COM INC,Consumer Discretionary,future_winner,normal,1.0,2020-04-30,True
2020-05-08,ZTO,0.5,ZTO Express,Industrials,early_scout,normal,1.0,2020-04-30,True
2020-05-29,ABT,0.5,ABBOTT LABORATORIES,Health Care,future_winner,normal,1.0,2020-05-29,True
2020-05-29,RGEN,0.5,Repligen,Health Care,early_scout,normal,1.0,2020-05-29,True
2020-06-03,ABT,0.4,ABBOTT LABORATORIES,Health Care,future_winner,caution,0.8,2020-05-29,True
2020-06-03,RGEN,0.4,Repligen,Health Care,early_scout,caution,0.8,2020-05-29,True
2020-06-15,ABT,0.25,ABBOTT LABORATORIES,Health Care,future_winner,crisis,0.5,2020-05-29,True
2020-06-15,RGEN,0.25,Repligen,Health Care,early_scout,crisis,0.5,2020-05-29,True
2020-06-30,CDNS,0.4,CADENCE DESIGN SYSTEMS INC,Information Technology,future_winner,caution,0.8,2020-06-30,True
2020-06-30,MELI,0.4,MercadoLibre,Internet,future_winner,caution,0.8,2020-06-30,True
2020-07-01,CDNS,0.5,CADENCE DESIGN SYSTEMS INC,Information Technology,future_winner,normal,1.0,2020-06-30,True
2020-07-01,MELI,0.5,MercadoLibre,Internet,future_winner,normal,1.0,2020-06-30,True
2020-07-31,CTAS,0.5,CINTAS CORP,Industrials,early_scout,normal,1.0,2020-07-31,True
2020-07-31,MELI,0.5,MercadoLibre,Internet,future_winner,normal,1.0,2020-07-31,True
2020-08-31,HD,0.5,HOME DEPOT INC,Consumer Discretionary,core_compounder,normal,1.0,2020-08-31,True
2020-08-31,GOOG,0.4999999999999999,ALPHABET INC CLASS C,Communication,future_winner,normal,1.0,2020-08-31,True
2020-09-08,HD,0.4,HOME DEPOT INC,Consumer Discretionary,core_compounder,caution,0.8,2020-08-31,True
2020-09-08,GOOG,0.3999999999999999,ALPHABET INC CLASS C,Communication,future_winner,caution,0.8,2020-08-31,True
2020-09-23,HD,0.25,HOME DEPOT INC,Consumer Discretionary,core_compounder,crisis,0.5,2020-08-31,True
2020-09-23,GOOG,0.24999999999999994,ALPHABET INC CLASS C,Communication,future_winner,crisis,0.5,2020-08-31,True
2020-09-30,ENTG,0.4,ENTEGRIS INC,Information Technology,future_winner,caution,0.8,2020-09-30,True
2020-09-30,HD,0.4,HOME DEPOT INC,Consumer Discretionary,core_compounder,caution,0.8,2020-09-30,True
2020-10-01,ENTG,0.5,ENTEGRIS INC,Information Technology,future_winner,normal,1.0,2020-09-30,True
2020-10-01,HD,0.5,HOME DEPOT INC,Consumer Discretionary,core_compounder,normal,1.0,2020-09-30,True
2020-10-26,ENTG,0.4,ENTEGRIS INC,Information Technology,future_winner,caution,0.8,2020-09-30,True
2020-10-26,HD,0.4,HOME DEPOT INC,Consumer Discretionary,core_compounder,caution,0.8,2020-09-30,True
2020-10-30,GOOG,0.4,ALPHABET INC CLASS C,Communication,future_winner,caution,0.8,2020-10-30,True
2020-10-30,GOOGL,0.4,ALPHABET INC CLASS A,Communication,future_winner,caution,0.8,2020-10-30,True
2020-11-03,GOOG,0.5,ALPHABET INC CLASS C,Communication,future_winner,normal,1.0,2020-10-30,True
2020-11-03,GOOGL,0.5,ALPHABET INC CLASS A,Communication,future_winner,normal,1.0,2020-10-30,True
2020-11-30,GOOG,0.5,ALPHABET INC CLASS C,Communication,future_winner,normal,1.0,2020-11-30,True
2020-11-30,GOOGL,0.4999999999999999,ALPHABET INC CLASS A,Communication,future_winner,normal,1.0,2020-11-30,True
2020-12-18,GOOG,0.4,ALPHABET INC CLASS C,Communication,future_winner,caution,0.8,2020-11-30,True
2020-12-18,GOOGL,0.3999999999999999,ALPHABET INC CLASS A,Communication,future_winner,caution,0.8,2020-11-30,True
2020-12-28,GOOG,0.5,ALPHABET INC CLASS C,Communication,future_winner,normal,1.0,2020-11-30,True
2020-12-28,GOOGL,0.4999999999999999,ALPHABET INC CLASS A,Communication,future_winner,normal,1.0,2020-11-30,True
2020-12-31,GOOG,0.5,ALPHABET INC CLASS C,Communication,future_winner,normal,1.0,2020-12-31,True
2020-12-31,HPQ,0.5,HP INC,Information Technology,early_scout,normal,1.0,2020-12-31,True
2021-01-29,GOOG,0.5,ALPHABET INC CLASS C,Communication,future_winner,normal,1.0,2021-01-29,True
2021-01-29,GOOGL,0.5,ALPHABET INC CLASS A,Communication,future_winner,normal,1.0,2021-01-29,True
2021-02-26,LPX,0.5,LOUISIANA PACIFIC CORP,Materials,early_scout,normal,1.0,2021-02-26,True
2021-02-26,GOOG,0.4999999999999999,ALPHABET INC CLASS C,Communication,future_winner,normal,1.0,2021-02-26,True
2021-03-31,MCO,0.5,MOODYS CORP,Financials,future_winner,normal,1.0,2021-03-31,True
2021-03-31,NDAQ,0.4999999999999999,NASDAQ INC,Financials,early_scout,normal,1.0,2021-03-31,True
2021-04-30,ORLY,0.5,OREILLY AUTOMOTIVE INC,Consumer Discretionary,early_scout,normal,1.0,2021-04-30,True
