ticker,side,quantity,fill_price,gross_value,fee_usd,cash_delta,cash_after,shares_after,date,signal_date,reason,target_weight,fill_mode
CPRT,BUY,242.0,16.502500534057617,3993.6051292419434,9.984012823104859,-4003.5891420650482,95996.41085793496,242.0,2019-05-01,2019-04-30,target_rebalance,0.04,next_close
FDS,BUY,15.0,253.60533142089844,3804.0799713134766,9.510199928283692,-3813.5901712417603,92182.8206866932,15.0,2019-05-01,2019-04-30,target_rebalance,0.04,next_close
KEYS,BUY,46.0,85.86000061035156,3949.560028076172,9.87390007019043,-3959.433928146362,88223.38675854684,46.0,2019-05-01,2019-04-30,target_rebalance,0.04,next_close
PAYC,BUY,20.0,196.92333984375,3938.466796875,9.8461669921875,-3948.3129638671876,84275.07379467966,20.0,2019-05-01,2019-04-30,target_rebalance,0.04,next_close
VICI,BUY,255.0,15.683968544006348,3999.4119787216187,9.998529946804046,-4009.4105086684226,80265.66328601123,255.0,2019-05-01,2019-04-30,target_rebalance,0.04,next_close
CDNS,BUY,67.0,68.54000091552734,4592.180061340332,11.48045015335083,-4603.660511493683,75662.00277451755,67.0,2019-05-01,2019-04-30,target_rebalance,0.0464611885352622,next_close
MELI,BUY,9.0,484.7300109863281,4362.570098876953,10.906425247192383,-4373.476524124146,71288.5262503934,9.0,2019-05-01,2019-04-30,target_rebalance,0.0474519604989518,next_close
CSX,BUY,197.0,24.009157180786133,4729.803964614868,11.82450991153717,-4741.628474526406,66546.897775867,197.0,2019-05-01,2019-04-30,target_rebalance,0.0474804244313668,next_close
AMT,BUY,33.0,159.76193237304688,5272.143768310547,13.180359420776368,-5285.324127731324,61261.57364813567,33.0,2019-05-01,2019-04-30,target_rebalance,0.0527887987478735,next_close
DHR,BUY,48.0,112.98954010009766,5423.4979248046875,13.558744812011719,-5437.056669616699,55824.51697851897,48.0,2019-05-01,2019-04-30,target_rebalance,0.0545666633649146,next_close
AVGO,BUY,268.0,26.60117530822754,7129.1149826049805,17.82278745651245,-7146.937770061493,48677.57920845748,268.0,2019-05-01,2019-04-30,target_rebalance,0.0714588155441487,next_close
NOW,BUY,132.0,54.08000183105469,7138.560241699219,17.846400604248046,-7156.4066423034665,41521.17256615401,132.0,2019-05-01,2019-04-30,target_rebalance,0.0714588155441487,next_close
