ticker,target_weight,Name,sector,portfolio_sleeve_label,bridge_reason
FLEX,0.1141052395569537,FLEX LTD,Information Technology,future_winner,no_op
SNDK,0.106242478584349,SANDISK CORP,Information Technology,future_winner,no_op
NXT,0.08,Nextracker,Industrials,future_winner,no_op
RKLB,0.0771797818207897,ROCKET LAB CORP,Industrials,future_winner,no_op
WDC,0.0642211559128242,WESTERN DIGITAL CORP,Information Technology,future_winner,no_op
MU,0.0633954993350146,MICRON TECHNOLOGY INC,Information Technology,future_winner,no_op
UMC,0.0617817604023048,United Microelectronics,Semiconductors,future_winner,no_op
HPE,0.0600666006233051,HEWLETT PACKARD ENTERPRISE,Information Technology,unassigned,no_op
CIEN,0.0537158507507146,CIENA CORP,Information Technology,future_winner,no_op
CASH,0.0500690127474076,Cash,Cash,,no_op
AMD,0.044870436711056,ADVANCED MICRO DEVICES INC,Information Technology,future_winner,no_op
ALAB,0.044870436711056,ASTERA LABS INC,Information Technology,unassigned,no_op
MRVL,0.044870436711056,MARVELL TECHNOLOGY INC,Information Technology,future_winner,no_op
ON,0.044870436711056,ON SEMICONDUCTOR CORP,Information Technology,early_scout,no_op
QCOM,0.044870436711056,QUALCOMM INC,Information Technology,future_winner,no_op
STM,0.044870436711056,STMicroelectronics,Semiconductors,future_winner,no_op
