date,ticker,shares,price,market_value_usd,weight,cost_basis,unrealized_pnl_usd,week_end_date
2019-06-07,SHOP,195.0,30.5049991607666,5948.474836349487,0.0575607731359796,26.5,780.9748363494873,2019-06-07
2019-06-07,UNH,44.0,219.1888885498047,9644.311096191406,0.09332375412743005,210.1200714111328,399.0279541015625,2019-06-07
2019-06-07,HD,56.0,167.41671752929688,9375.336181640625,0.09072100225208911,159.737060546875,430.060791015625,2019-06-07
2019-06-07,NOW,130.0,54.90999984741211,7138.299980163574,0.06907418742430443,49.67599868774414,680.4201507568359,2019-06-07
2019-06-07,DHR,53.0,118.1082763671875,6259.7386474609375,0.060572736052481035,113.29873657226562,254.90560913085938,2019-06-07
2019-06-07,PEG,109.0,47.79793930053711,5209.975383758545,0.05041463893837418,46.920223236083984,95.67105102539062,2019-06-07
2019-06-07,AMT,30.0,175.95266723632812,5278.580017089844,0.051078495783010915,173.32733154296875,78.76007080078125,2019-06-07
2019-06-07,KO,116.0,41.594417572021484,4824.952438354492,0.04668894133987009,40.37461471557617,141.49713134765625,2019-06-07
2019-06-07,ELS,76.0,51.42856216430664,3908.5707244873047,0.03782151878383218,50.220008850097656,91.85005187988281,2019-06-07
2019-06-07,FDS,19.0,273.0891418457031,5188.693695068359,0.05020870540274573,258.81585693359375,271.1924133300781,2019-06-07
2019-06-07,AZO,2.0,1099.1400146484375,2198.280029296875,0.02127178840574283,1037.6500244140625,122.97998046875,2019-06-07
2019-06-07,WRB,120.0,24.565500259399414,2947.8600311279297,0.02852514420192251,23.939037322998047,75.17555236816406,2019-06-07
2019-06-07,CMS,62.0,46.958587646484375,2911.4324340820312,0.02817265037667593,46.31665802001953,39.79963684082031,2019-06-07
2019-06-07,CBOE,28.0,101.89535522460938,2853.0699462890625,0.027607902266963143,99.90892791748047,55.619964599609375,2019-06-07
2019-06-14,SHOP,195.0,30.51099967956543,5949.644937515259,0.05720342779478688,26.5,782.1449375152588,2019-06-14
2019-06-14,UNH,44.0,218.9105224609375,9632.06298828125,0.0926083867947746,210.1200714111328,386.77984619140625,2019-06-14
2019-06-14,HD,56.0,174.60382080078125,9777.81396484375,0.09400972343778015,159.737060546875,832.53857421875,2019-06-14
2019-06-14,NOW,130.0,54.45000076293945,7078.500099182129,0.0680569132396093,49.67599868774414,620.6202697753906,2019-06-14
2019-06-14,AMT,30.0,174.9339599609375,5248.018798828125,0.05045757647343286,173.32733154296875,48.1988525390625,2019-06-14
2019-06-14,PEG,109.0,48.554630279541016,5292.454700469971,0.05088480968108829,46.920223236083984,178.1503677368164,2019-06-14
2019-06-14,DHR,53.0,119.9204330444336,6355.7829513549805,0.06110828040252942,113.29873657226562,350.94991302490234,2019-06-14
2019-06-14,KO,116.0,41.77256774902344,4845.617858886719,0.04658865431854106,40.37461471557617,162.1625518798828,2019-06-14
2019-06-14,CBOE,28.0,98.6273422241211,2761.5655822753906,0.02655133525534922,99.90892791748047,-35.8843994140625,2019-06-14
2019-06-14,CMS,62.0,47.738670349121094,2959.797561645508,0.0284572554972472,46.31665802001953,88.16476440429688,2019-06-14
